"ALL40228","FUEL FILTER BRK use w/long for 1-1/2in TUBE","AIR",22.2,"Y",
"65 KCDBTI","KEYRING DISC BRAKE TITANIUM","ACCESSORY",10.62,"Y",
"NOSTICK S","STICKER NO - HOLOGRAM","ACCESSORY",6.22,"Y",
"PER1A","OIL FILTER FORD CHRYS 6CYL,V8 V1A  Z9","MISC",8.87,"Y",
"NOS16140","BOTTLE VALVE NOS HI-FLOW","ACCESSORY",111.09,"Y",
"NOS16710","NOS DIST BLOCK 1/8 NPT 4 WAY","AIR",54.2,"Y",
"FEL1228","INTAKE SET FORD 302-351c 4V lge port","GASKETS",48.87,"Y",
"TPGKT-TH700","TRANS PAN GKT TH700","TRANS",8.45,"Y",
"NZGN2132","DIFF GKT FORD 8in","GASKETS",14.2,"Y",
"DB30125-12","OIL COOLER 11in x 10in x 2in OIL/AIR -12","MISC",395.51,"Y",
"NS","NEWSTAR LOGOS","ACCESSORY",8.85,"Y",
"NSD","NEEDLE & SEAT DELLORTO DHLA SIDE DRAFT","AIR",27.54,"Y",
"NON513S","HELMET BLUE/SILVER SML NOLAN N51 RAPID","CLOTHING",337.76,"Y",
"JP5605","T/SET FORD 5.0w LATE ROLLER CAM","MISC",124.43,"Y",
"WIL340-4990","BRAKE BIAS ADJUSTER REMOTE DIAL","BRAKES",103.98,"Y",
"NO XPILOT2XL","HELMET WHITE XLG SA/05 NOLAN X-PILOT","CLOTHING",532.44,"Y",
"NON511L","HELMET BLACK/SILVER LRG NOLAN N51 RAPID","CLOTHING",337.73,"Y",
"CRA3174","SHOCK CARRERA STEEL 7in 4","STEERING",188,"Y",
"AAC141-638","LEAD SEP LINEAR CHEV SB BOWTIE CHROME","ACCESSORY",133.32,"Y",
"NOS16030","NOS PURGE KIT -4","AIR",239.98,"Y",
"QA1 KMXR8","ROD END ALL/STE RHM 1/2x1/2 NYLON","STEERING",28.5,"Y",
"BOV-2","BLOW OFF VALVE TYPE 2","AIR",340.67,"Y",
